"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","Yield1.US","Yield10.US","Yield1.EU","Yield10.EU","Y.US.EU.Date","HYspread","HYspread.Date","MSCI.Return","ES50.Return","SP500.Return","NASDAQ.Return","Comm.Return","VTM.Return","WRA.Return","RE.US.com.Return","PuPri.NAV.scaled","PuPri.Com.scaled","PuPri.wc.scaled","Pri.wc.scaled"
"1809",2013-06-30,2014-07-01,NA,1.34961227512075,"0.1-2.1-Inf-1-0.2-1-0.6",Inf,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"DD-BO-BO-BO-VC-BO-DD",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,NA,1.24086987845498,1.24086987845498,1.34961227512075
"1810",2013-06-30,2014-07-01,1.13529518339635,1.11406240344077,"0.3-2.6-0.7-3-0.2-1-0.2",6.83364730682842,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-BO-VC-RE-BO-FOF-RE",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.20118152813565,1.19724953184758,1.19724953184758,1.11406240344077
"1811",2013-06-30,2014-07-01,1.27350163668444,1.16294511757998,"0.1-3-1.1-3-0.3-1.5-0.9",6.30991827822652,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"DD-BO-VC-BO-VC-RE-BO",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22677531578159,1.2063018863178,1.2063018863178,1.16294511757998
"1812",2013-06-30,2014-07-01,1.2675378290582,1.20295944289965,"0.1-2.1-0.6-2.5-0.2-0.7-0.5",7.13089883029635,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-FOF-BO-BO-VC-BO-BO",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22567090696192,1.21371194656219,1.21371194656219,1.20295944289965
"1813",2013-06-30,2014-07-01,1.48201263078895,1.38431605760221,"0.4-2-1.4-2.4-3.9-1-3.3",5.37627790801725,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-RE-raus-BO-NatRes-VC-BO",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.26538846283798,1.24729650484044,1.24729650484044,1.38431605760221
"1814",2013-06-30,2014-07-01,1.21100256732443,1.14632991755442,"0.3-6.1-1.1-2.1-1.1-0.6-1.1",4.55095508341354,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-BO-VC-BO-VC-RE-FOF",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.21520141404826,1.20322499742418,1.20322499742418,1.14632991755442
"1815",2013-06-30,2014-07-01,1.13831774379728,1.2313849672918,"0.5-6.9-0.9-1.5-5-2-0.2",7.0475172213573,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-FOF-BO-SEC-RE-BO-DD",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.20174126154323,1.21897593256073,1.20174126154323,1.13831774379728
"1816",2013-06-30,2014-07-01,1.28052848544785,1.14693604231688,"1.4-1.9-1.5-5.1-0.4-1.9-2",5.26432356923855,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-BO-VC-RE-BO-BO-VC",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22807658407111,1.20333724275056,1.20333724275056,1.14693604231688
"1817",2013-06-30,2014-07-01,1.37146375726452,1.34529431626247,"0.1-3.8-1.6-2.6-3.1-7.4-0.7",8.55265828963952,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-FOF-DD-VC-SEC-BO-BO",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.24491644922235,1.24007025644419,1.24007025644419,1.34529431626247
"1818",2013-06-30,2014-07-01,1.26327668549541,1.17636723161562,"0.2-2-0.3-4.6-0.3-0.8-0.3",7.66370336078111,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-raus-VC-BO-FOF-BO-FOF",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22488180630214,1.20878746299107,1.20878746299107,1.17636723161562
