"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1563",2003-12-31,"951097",2068590,"2003-12-31",437176,10331450,9894274,453,0,-46687,259509,306196,-68840,237356,1.1147,1.1174,1.2533,0.2091,1.0442,0.2069,0.2298
"1564",2004-12-31,"951097",1999750,"2004-12-31",743372,10590959,9847587,505,0,311540,2835372,2523832,-1760500,763332,1.3817,1.3303,1.2786,0.2031,1.0755,0.2,0.2276
"1565",2005-12-31,"951097",239250,"2005-12-31",3267204,13426331,10159127,558,0,0,0,0,0,0,1,1,1.3452,0.0236,1.3216,0.0236,0.0236
"1566",2006-12-31,"951097",239250,"2006-12-31",3267204,13426331,10159127,610,0,0,0,0,0,0,1,1,1.3452,0.0236,1.3216,0.0236,0.0236
"1567",2007-12-31,"951097",239250,"2007-12-31",3267204,13426331,10159127,662,0,0,0,0,0,0,1,1,1.3452,0.0236,1.3216,0.0236,0.0236
"1568",2008-12-31,"951097",239250,"2008-12-31",3267204,13426331,10159127,714,0,870,5190,4320,0,4320,1.0181,1.018,1.3452,0.0236,1.3216,0.0236,0.0236
"1569",2009-12-31,"951097",239250,"2008-12-31",3271524,13431521,10159997,766,52,0,0,0,-239250,-239250,0,0,1.3455,0.0235,1.322,0.0235,0.0235
"1570",2010-12-31,"951097",0,"2010-12-31",3271524,13431521,10159997,818,0,0,0,0,0,0,NA,NA,1.322,0,1.322,0,0
"1571",2011-12-31,"951097",0,"2011-12-31",3271524,13431521,10159997,871,0,0,0,0,0,0,NA,NA,1.322,0,1.322,0,0
"1572",2012-12-31,"951097",0,"2012-12-31",3271524,13431521,10159997,923,0,NA,NA,NA,NA,NA,NA,NA,1.322,0,1.322,0,0
"1573",2012-12-31,"9541333",NA,NA,NA,NA,NA,-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1574",2013-12-31,"9541333",NA,NA,-540000,0,540000,7,NA,3760000,0,-3760000,NA,NA,NA,NA,NA,NA,0,NA,NA
"1575",2014-12-31,"9541333",933000,"2014-06-30",-4300000,0,4300000,59,26,0,0,0,3430210,3430210,4.6765,4.6765,0.217,0.217,0,0.0933,0.217
"1576",2015-12-31,"9541333",4363210,"2015-03-31",-4300000,0,4300000,111,39,NA,NA,NA,NA,NA,NA,NA,1.0147,1.0147,0,0.4363,1.0147
"1577",2009-12-31,"9520640",NA,NA,NA,NA,NA,-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578",2010-12-31,"9520640",1500630,"2010-12-31",-1500000,0,1500000,0,0,4250000,230240,-4019760,4330730,310970,1.2072,1.0541,1.0004,1.0004,0,0.1501,1.0001
"1579",2011-12-31,"9520640",5831360,"2011-12-31",-5519760,230240,5750000,52,0,3250000,713701,-2536299,3197620,661321,1.1134,1.0728,1.0542,1.0141,0.04,0.5831,1.0086
"1580",2012-12-31,"9520640",9028980,"2012-12-31",-8056059,943941,9000000,104,0,500000,933180,433180,1074550,1507730,1.167,1.1582,1.1081,1.0032,0.1049,0.9029,1.0031
"1581",2013-12-31,"9520640",10103530,"2013-12-31",-7622879,1877121,9500000,157,0,0,2606800,2606800,-320150,2286650,1.2263,1.2263,1.2611,1.0635,0.1976,1.0104,1.0635
"1582",2014-12-31,"9520640",9783380,"2014-12-31",-5016079,4483921,9500000,209,0,0,0,0,0,0,1,1,1.5018,1.0298,0.472,0.9783,1.0298
"1583",2015-12-31,"9520640",9783380,"2014-12-31",-5016079,4483921,9500000,261,52,NA,NA,NA,NA,NA,NA,NA,1.5018,1.0298,0.472,0.9783,1.0298
"1584",2006-12-31,"958273",NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1585",2007-12-31,"958273",118930,"2007-12-31",-118933,0,118933,33,0,4371440,64,-4371376,3902470,-468906,-2.9427,0.8956,1,1,0,0.0119,1
"1586",2008-12-31,"958273",4021400,"2008-12-31",-4490309,64,4490373,85,0,1891195,0,-1891195,-2427700,-4318895,-0.074,0.2695,0.8956,0.8956,0,0.4021,0.9531
"1587",2009-12-31,"958273",1593700,"2009-12-31",-6381504,64,6381568,137,0,3026403,0,-3026403,1155520,-1870883,-0.1739,0.5951,0.2497,0.2497,0,0.1594,0.5212
"1588",2010-12-31,"958273",2749220,"2010-12-31",-9407907,64,9407971,189,0,111045,0,-111045,-319820,-430865,0.8433,0.8494,0.2922,0.2922,0,0.2749,0.3341
"1589",2011-12-31,"958273",2429400,"2011-12-31",-9518952,64,9519016,241,0,100274,0,-100274,1223150,1122876,1.4622,1.4439,0.2552,0.2552,0,0.2429,0.2911
"1590",2012-12-31,"958273",3652550,"2012-12-31",-9619226,64,9619290,294,0,380951,0,-380951,-400190,-781141,0.7861,0.8063,0.3797,0.3797,0,0.3653,0.4033
"1591",2013-12-31,"958273",3252360,"2013-12-31",-10000177,64,10000241,346,0,0,0,0,-927520,-927520,0.7148,0.7148,0.3252,0.3252,0,0.3252,0.3252
