"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","FID"
"2038","1998-03-31","1999-04-01",1.04557099197613,1.14131309840923,"10.5-1.1-1.5-1.1-0-6.2-0.1-6.5-1.6-12.6",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-MEZZ-VC-BO-DD-RE-VC-BO-MEZZ","950872-952061-951315-950874-950863-953786-951920-951100-95148-951795"
"2039","2014-03-31","2015-04-01",1.14460926279811,1.18845932752068,"1.7-0.8-1.5-1.1-0.2-0.4-0.1-1.1-0.7-4",7.92114031245412,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-Infrastructure-VC-BO-FOF-Infrastructure-FOF-VC-BO","959611-9522977-9521377-9519833-9518656-9510444-958253-956339-953615-951050"
"2040","2012-12-31","2014-01-01",1.72610987435665,1.19193327653366,"1.1-2.7-1.3-1.9-0.3-1.1-0.2-2.3-0.5-119.8",11.2133809891953,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-raus-VC-BO-RE-RE-MEZZ-VC-BO","9527722-9518473-9512072-9514662-9510548-957148-958478-951798-952250-95755"
"2041","2009-12-31","2011-01-01",0.993538513388811,1.05095015608808,"0.5-2.7-1.2-1.7-0.2-1.5-0.2-3.4-3.9-1.7",9.13906993022261,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-FOF-VC-BO-raus-NatRes-MEZZ-VC-FOF","9512891-9510004-958787-955401-954310-953477-954148-954193-95503-95784"
"2042","2011-06-30","2012-06-30",1.12697616307023,1.06272603130782,"0.3-1.5-1.8-6-0.4-0.7-0.2-1.5-0.6-0.7",8.14435331062415,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-RE-RE-FOF-VC-BO","9511379-957789-9514504-9514681-958902-9510944-956830-956267-94975-95003"
"2043","2009-12-31","2011-01-01",1.08024651037096,1.07443890659523,"0.5-1-0.7-1.7-0.2-0.8-0.2-1.8-0.5-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-BO-RE-FOF-FOF-VC-VC","9513162-959224-957688-957058-953101-956052-954558-950844-951955-951323"
"2044","2002-12-31","2004-01-01",1.75551664353251,1.27410866556573,"4.4-1.4-1.1-21.4-0.3-0.5-0.3-1.2-1.6-11.3",11.1549985803474,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-NatRes-SEC-RE-VC-VC","951667-954193-955127-95404-95221-951472-951006-954574-951983-951237"
"2045","2000-09-30","2001-10-01",0.924642716227323,0.92928726759327,"0.2-1.3-0.9-1.9-0.2-0.5-0.1-0.9-0.2-100",13.5441553787999,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-RE-VC-BO-NatRes-NatRes-NatRes-VC-VC","954628-951992-954567-951528-95341-951472-95133-95600-951507-9513613"
"2046","2007-12-31","2008-12-31",0.988135714037047,0.904292606014505,"0.7-2.7-0.8-1.6-0.4-0.9-0.2-28.4-3.2-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-SEC-VC-BO-RE-FOF-RE-VC-VC","957450-956267-957149-953610-952407-955127-950986-951930-951257-950974"
"2047","2013-12-31","2015-01-01",1.36347488068001,1.29497009343045,"0.4-1-1.9-2.2-0.2-0.5-0.2-6.9-0.7-1.1",8.64213151918524,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-BO-FOF-RE-DD-VC-VC","9528517-9515480-9518985-9519418-9512651-958037-9513883-953500-955402-951497"
