This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
200507    ,4.03    ,2.59   ,-0.87    ,0.24
200508   ,-0.74   ,-0.54    ,1.53    ,0.30
200509    ,0.90    ,0.07    ,1.44    ,0.29
200510   ,-2.50   ,-1.90   ,-0.70    ,0.27
200511    ,3.85    ,1.19   ,-0.73    ,0.31
200512    ,0.15    ,0.24    ,0.18    ,0.32
200601    ,3.50    ,5.64    ,0.46    ,0.35
200602   ,-0.52   ,-0.44    ,0.57    ,0.34
200603    ,1.41    ,2.76    ,0.29    ,0.37
200604    ,1.16   ,-0.11    ,2.56    ,0.36
200605   ,-3.38   ,-2.71    ,2.28    ,0.43
200606   ,-0.53   ,-0.81    ,0.37    ,0.40
200607   ,-0.73   ,-2.96    ,2.68    ,0.40
200608    ,2.13    ,0.68   ,-0.91    ,0.42
200609    ,1.32   ,-2.41    ,0.74    ,0.41
200610    ,3.30    ,2.11   ,-0.74    ,0.41
200611    ,1.74   ,-0.07    ,0.33    ,0.42
200612    ,0.66   ,-0.77    ,2.50    ,0.40
200701    ,1.26   ,-0.16   ,-0.59    ,0.44
200702   ,-1.84    ,1.78    ,0.17    ,0.38
200703    ,0.92    ,0.04    ,0.36    ,0.43
200704    ,3.86   ,-1.38   ,-1.15    ,0.44
200705    ,3.66   ,-0.11    ,0.28    ,0.41
200706   ,-1.72    ,0.62   ,-0.48    ,0.40
200707   ,-3.42   ,-2.15   ,-2.93    ,0.40
200708    ,0.63   ,-1.40   ,-0.99    ,0.42
200709    ,3.77   ,-1.31   ,-2.28    ,0.32
200710    ,2.37    ,1.29   ,-3.67    ,0.32
200711   ,-5.42   ,-3.68   ,-1.04    ,0.34
200712   ,-0.57    ,0.65   ,-0.77    ,0.27
200801   ,-6.37   ,-1.55    ,4.73    ,0.21
200802   ,-2.27    ,0.61   ,-0.61    ,0.13
200803   ,-1.28   ,-0.43    ,0.38    ,0.17
200804    ,4.72   ,-2.04   ,-0.13    ,0.18
200805    ,2.39    ,3.07   ,-2.39    ,0.18
200806   ,-7.90    ,1.16   ,-3.11    ,0.17
200807   ,-1.59    ,2.12    ,1.73    ,0.15
200808    ,1.00    ,1.74    ,1.22    ,0.13
200809   ,-9.99   ,-1.50    ,3.85    ,0.15
200810  ,-18.23   ,-3.77   ,-0.62    ,0.08
200811   ,-7.75   ,-4.33   ,-2.94    ,0.03
200812    ,1.40    ,4.58   ,-1.61    ,0.00
200901   ,-7.37    ,0.22   ,-7.47    ,0.00
200902   ,-9.85   ,-0.16   ,-5.16    ,0.01
200903    ,8.73   ,-0.11    ,0.99    ,0.02
200904   ,10.46    ,5.33    ,4.02    ,0.01
200905    ,6.63   ,-1.17   ,-0.22    ,0.00
200906   ,-0.21    ,2.07   ,-3.03    ,0.01
200907    ,8.10    ,1.28    ,5.11    ,0.01
200908    ,3.15   ,-0.67    ,5.25    ,0.01
200909    ,4.49    ,2.81    ,1.71    ,0.01
200910   ,-2.75   ,-3.09   ,-2.52    ,0.00
200911    ,5.76   ,-2.33    ,0.00    ,0.00
200912    ,3.02    ,5.40    ,0.52    ,0.01
201001   ,-3.58    ,0.79    ,0.68    ,0.00
201002    ,3.68    ,0.93    ,2.23    ,0.00
201003    ,6.32    ,1.36    ,1.50    ,0.01
201004    ,1.98    ,3.69    ,1.86    ,0.01
201005   ,-7.84    ,0.85   ,-2.33    ,0.01
201006   ,-5.42   ,-0.81   ,-3.65    ,0.01
201007    ,6.93    ,0.17    ,1.02    ,0.01
201008   ,-4.46   ,-1.48   ,-2.49    ,0.01
201009    ,9.43    ,3.55   ,-1.63    ,0.01
201010    ,3.90    ,0.78   ,-1.37    ,0.01
201011    ,0.83    ,3.86    ,0.13    ,0.01
201012    ,6.79    ,1.16    ,3.22    ,0.01
201101    ,1.98   ,-2.17    ,1.32    ,0.01
201102    ,4.03    ,2.12    ,0.28    ,0.01
201103    ,0.40    ,2.13   ,-1.75    ,0.01
201104    ,2.78    ,0.09   ,-2.11    ,0.00
201105   ,-1.50   ,-1.03   ,-1.50    ,0.00
201106   ,-1.82   ,-0.78   ,-0.12    ,0.00
201107   ,-2.25   ,-0.82   ,-1.64    ,0.00
201108   ,-5.87   ,-2.94   ,-1.82    ,0.01
201109   ,-8.48   ,-4.17   ,-0.20    ,0.00
201110   ,11.49    ,3.33   ,-0.08    ,0.00
201111   ,-0.51   ,-0.95   ,-0.12    ,0.00
201112    ,0.42   ,-0.85    ,3.29    ,0.00
201201    ,5.19    ,2.46   ,-3.22    ,0.00
201202    ,4.31   ,-1.54    ,0.45    ,0.00
201203    ,2.33   ,-1.33    ,0.81    ,0.00
201204   ,-0.60   ,-0.88   ,-0.49    ,0.00
201205   ,-6.70   ,-0.62    ,0.48    ,0.01
201206    ,3.73    ,0.44    ,0.46    ,0.00
201207    ,1.05   ,-2.21    ,0.47    ,0.00
201208    ,2.69    ,0.93    ,0.44    ,0.01
201209    ,2.81    ,1.03    ,0.72    ,0.01
201210   ,-1.61   ,-0.70    ,3.29    ,0.01
201211    ,0.65    ,0.13   ,-0.84    ,0.01
201212    ,1.27    ,1.79    ,3.09    ,0.01
201301    ,5.31    ,0.10    ,1.71    ,0.00
201302    ,0.97   ,-0.90    ,0.09    ,0.00
201303    ,3.70    ,0.67   ,-0.37    ,0.00
201304    ,1.29   ,-2.89    ,0.28    ,0.00
201305    ,2.49    ,1.44    ,1.26    ,0.00
201306   ,-1.54    ,0.76    ,0.77    ,0.00
201307    ,5.68    ,1.76    ,0.31    ,0.00
201308   ,-2.56    ,0.50   ,-2.04    ,0.00
201309    ,3.78    ,2.18   ,-1.26    ,0.00
201310    ,4.15   ,-1.73    ,0.51    ,0.00
201311    ,2.78    ,0.78   ,-0.43    ,0.00
201312    ,2.63   ,-0.52   ,-0.05    ,0.00
201401   ,-3.44    ,1.12   ,-1.48    ,0.00
201402    ,4.69    ,0.40   ,-0.56    ,0.00
201403    ,0.63   ,-1.58    ,4.70    ,0.00
