Date,Open,High,Low,Close,Volume,Adjusted Close
1996-09-23,10.1,10.1,10.1,10.1,0.0,3.840095
1996-09-20,10.21,10.21,10.21,10.21,0.0,3.832491
1996-09-19,10.2,10.2,10.2,10.2,0.0,3.828737
1996-09-18,10.21,10.21,10.21,10.21,0.0,3.832491
1996-09-17,10.21,10.21,10.21,10.21,0.0,3.832491
1996-09-16,10.27,10.27,10.27,10.27,0.0,3.855013
1996-09-13,10.27,10.27,10.27,10.27,0.0,3.855013
1996-09-12,10.17,10.17,10.17,10.17,0.0,3.817476
1996-09-11,10.14,10.14,10.14,10.14,0.0,3.806215
1996-09-10,10.13,10.13,10.13,10.13,0.0,3.802461
1996-09-09,10.16,10.16,10.16,10.16,0.0,3.813722
1996-09-06,10.13,10.13,10.13,10.13,0.0,3.802461
1996-09-05,10.1,10.1,10.1,10.1,0.0,3.7912
1996-09-04,10.13,10.13,10.13,10.13,0.0,3.802461
1996-09-03,10.15,10.15,10.15,10.15,0.0,3.809968
1996-08-30,10.11,10.11,10.11,10.11,0.0,3.794954
1996-08-29,10.18,10.18,10.18,10.18,0.0,3.82123
1996-08-28,10.21,10.21,10.21,10.21,0.0,3.832491
1996-08-27,10.22,10.22,10.22,10.22,0.0,3.836244
1996-08-26,10.2,10.2,10.2,10.2,0.0,3.828737
1996-08-23,10.24,10.24,10.24,10.24,0.0,3.843751
1996-08-22,10.31,10.31,10.31,10.31,0.0,3.870027
1996-08-21,10.31,10.31,10.31,10.31,0.0,3.870027
1996-08-20,10.33,10.33,10.33,10.33,0.0,3.877534
1996-08-19,10.33,10.33,10.33,10.33,0.0,3.877534
1996-08-16,10.34,10.34,10.34,10.34,0.0,3.881288
1996-08-15,10.3,10.3,10.3,10.3,0.0,3.866274
1996-08-14,10.33,10.33,10.33,10.33,0.0,3.877534
1996-08-13,10.32,10.32,10.32,10.32,0.0,3.873781
1996-08-12,10.38,10.38,10.38,10.38,0.0,3.896303
1996-08-09,10.37,10.37,10.37,10.37,0.0,3.892549
1996-08-08,10.34,10.34,10.34,10.34,0.0,3.881288
1996-08-07,10.33,10.33,10.33,10.33,0.0,3.877534
1996-08-06,10.34,10.34,10.34,10.34,0.0,3.881288
1996-08-05,10.34,10.34,10.34,10.34,0.0,3.881288
1996-08-02,10.35,10.35,10.35,10.35,0.0,3.885042
1996-08-01,10.26,10.26,10.26,10.26,0.0,3.851259
1996-07-31,10.17,10.17,10.17,10.17,0.0,3.817476
1996-07-30,10.13,10.13,10.13,10.13,0.0,3.802461
1996-07-29,10.09,10.09,10.09,10.09,0.0,3.787447
1996-07-26,10.13,10.13,10.13,10.13,0.0,3.802461
1996-07-25,10.13,10.13,10.13,10.13,0.0,3.802461
1996-07-24,10.12,10.12,10.12,10.12,0.0,3.798708
1996-07-23,10.16,10.16,10.16,10.16,0.0,3.813722
1996-07-22,10.13,10.13,10.13,10.13,0.0,3.802461
1996-07-19,10.15,10.15,10.15,10.15,0.0,3.809968
1996-07-18,10.19,10.19,10.19,10.19,0.0,3.824983
1996-07-17,10.12,10.12,10.12,10.12,0.0,3.798708
1996-07-16,10.12,10.12,10.12,10.12,0.0,3.798708
1996-07-15,10.19,10.19,10.19,10.19,0.0,3.824983
1996-07-12,10.09,10.09,10.09,10.09,0.0,3.787447
1996-07-11,10.07,10.07,10.07,10.07,0.0,3.779939
1996-07-10,10.06,10.06,10.06,10.06,0.0,3.776186
1996-07-09,10.01,10.01,10.01,10.01,0.0,3.757417
1996-07-08,9.98,9.98,9.98,9.98,0.0,3.746156
1996-07-05,9.98,9.98,9.98,9.98,0.0,3.746156
1996-07-03,10.15,10.15,10.15,10.15,0.0,3.809968
1996-07-02,10.13,10.13,10.13,10.13,0.0,3.802461
1996-07-01,10.16,10.16,10.16,10.16,0.0,3.813722
1996-06-28,10.16,10.16,10.16,10.16,0.0,3.813722
1996-06-27,10.08,10.08,10.08,10.08,0.0,3.783693
1996-06-26,10.05,10.05,10.05,10.05,0.0,3.772432
1996-06-25,10.04,10.04,10.04,10.04,0.0,3.768678
1996-06-24,10.02,10.02,10.02,10.02,0.0,3.761171
1996-06-21,10.01,10.01,10.01,10.01,0.0,3.757417
1996-06-20,10.0,10.0,10.0,10.0,0.0,3.753664
1996-06-19,10.0,10.0,10.0,10.0,0.0,3.753664
1996-06-18,10.01,10.01,10.01,10.01,0.0,3.757417
1996-06-17,10.03,10.03,10.03,10.03,0.0,3.764924
1996-06-14,10.13,10.13,10.13,10.13,0.0,3.753664
1996-06-13,10.1,10.1,10.1,10.1,0.0,3.742547
1996-06-12,10.06,10.06,10.06,10.06,0.0,3.727725
1996-06-11,10.09,10.09,10.09,10.09,0.0,3.738842
1996-06-10,10.1,10.1,10.1,10.1,0.0,3.742547
1996-06-07,10.13,10.13,10.13,10.13,0.0,3.753664
1996-06-06,10.23,10.23,10.23,10.23,0.0,3.790718
1996-06-05,10.19,10.19,10.19,10.19,0.0,3.775897
1996-06-04,10.16,10.16,10.16,10.16,0.0,3.76478
1996-06-03,10.16,10.16,10.16,10.16,0.0,3.76478
1996-05-31,10.15,10.15,10.15,10.15,0.0,3.761075
1996-05-30,10.19,10.19,10.19,10.19,0.0,3.775897
1996-05-29,10.19,10.19,10.19,10.19,0.0,3.775897
1996-05-28,10.26,10.26,10.26,10.26,0.0,3.801835
1996-05-24,10.26,10.26,10.26,10.26,0.0,3.801835
1996-05-23,10.24,10.24,10.24,10.24,0.0,3.794424
1996-05-22,10.27,10.27,10.27,10.27,0.0,3.805541
1996-05-21,10.25,10.25,10.25,10.25,0.0,3.79813
1996-05-20,10.26,10.26,10.26,10.26,0.0,3.801835
1996-05-17,10.25,10.25,10.25,10.25,0.0,3.79813
1996-05-16,10.2,10.2,10.2,10.2,0.0,3.779602
1996-05-15,10.25,10.25,10.25,10.25,0.0,3.79813
1996-05-14,10.25,10.25,10.25,10.25,0.0,3.79813
1996-05-13,10.21,10.21,10.21,10.21,0.0,3.783308
1996-05-10,10.2,10.2,10.2,10.2,0.0,3.779602
1996-05-09,10.13,10.13,10.13,10.13,0.0,3.753664
1996-05-08,10.16,10.16,10.16,10.16,0.0,3.76478
1996-05-07,10.12,10.12,10.12,10.12,0.0,3.749958
1996-05-06,10.12,10.12,10.12,10.12,0.0,3.749958
1996-05-03,10.09,10.09,10.09,10.09,0.0,3.738842
1996-05-02,10.12,10.12,10.12,10.12,0.0,3.749958
1996-05-01,10.2,10.2,10.2,10.2,0.0,3.779602
1996-04-30,10.2,10.2,10.2,10.2,0.0,3.779602
1996-04-29,10.23,10.23,10.23,10.23,0.0,3.790718
1996-04-26,10.26,10.26,10.26,10.26,0.0,3.801835
1996-04-25,10.26,10.26,10.26,10.26,0.0,3.801835
1996-04-24,10.23,10.23,10.23,10.23,0.0,3.790718
1996-04-23,10.25,10.25,10.25,10.25,0.0,3.79813
1996-04-22,10.26,10.26,10.26,10.26,0.0,3.801835
1996-04-19,10.24,10.24,10.24,10.24,0.0,3.794424
1996-04-18,10.21,10.21,10.21,10.21,0.0,3.783308
1996-04-17,10.23,10.23,10.23,10.23,0.0,3.790718
1996-04-16,10.26,10.26,10.26,10.26,0.0,3.801835
1996-04-15,10.26,10.26,10.26,10.26,0.0,3.801835
1996-04-12,10.23,10.23,10.23,10.23,0.0,3.790718
1996-04-11,10.15,10.15,10.15,10.15,0.0,3.761075
1996-04-10,10.15,10.15,10.15,10.15,0.0,3.761075
1996-04-09,10.2,10.2,10.2,10.2,0.0,3.779602
1996-04-08,10.17,10.17,10.17,10.17,0.0,3.768486
1996-04-04,10.31,10.31,10.31,10.31,0.0,3.820363
1996-04-03,10.34,10.34,10.34,10.34,0.0,3.831479
1996-04-02,10.37,10.37,10.37,10.37,0.0,3.842595
1996-04-01,10.33,10.33,10.33,10.33,0.0,3.827774
1996-03-29,10.32,10.32,10.32,10.32,0.0,3.824068
1996-03-28,10.28,10.28,10.28,10.28,0.0,3.809246
1996-03-27,10.31,10.31,10.31,10.31,0.0,3.820363
1996-03-26,10.36,10.36,10.36,10.36,0.0,3.83889
1996-03-25,10.36,10.36,10.36,10.36,0.0,3.83889
1996-03-22,10.31,10.31,10.31,10.31,0.0,3.820363
1996-03-21,10.33,10.33,10.33,10.33,0.0,3.827774
1996-03-20,10.33,10.33,10.33,10.33,0.0,3.827774
1996-03-19,10.27,10.27,10.27,10.27,0.0,3.805541
1996-03-18,10.27,10.27,10.27,10.27,0.0,3.805541
1996-03-15,10.39,10.39,10.39,10.39,0.0,3.801835
1996-03-14,10.43,10.43,10.43,10.43,0.0,3.816471
1996-03-13,10.43,10.43,10.43,10.43,0.0,3.816471
1996-03-12,10.43,10.43,10.43,10.43,0.0,3.816471
1996-03-11,10.44,10.44,10.44,10.44,0.0,3.82013
1996-03-08,10.41,10.41,10.41,10.41,0.0,3.809153
1996-03-07,10.58,10.58,10.58,10.58,0.0,3.871358
1996-03-06,10.59,10.59,10.59,10.59,0.0,3.875018
