Date;Liq.Agg;Liq.Inno;Liq.Trade
197802;-0.019297252;0.013963495;-0.001978663
197803;-0.010491407;0.003799096;0.016379695
197804;-0.0078029;0.019992508;0.034562452
197805;0.018013515;0.022652037;0.011628716
197806;0.010747892;0.014635159;0.009079551
197807;-0.043481563;-0.034588949;0.027464859
197808;0.020908268;0.037998007;-0.001042025
197809;-0.005565764;-0.010750622;-0.026364863
197810;-0.108156643;-0.100391276;0.044412279
197811;-0.075025642;-0.030383814;-0.035608554
197812;-0.033950702;0.03694903;0.00197454
197901;-0.014406977;0.025194551;-0.009022415
197902;-0.03296287;0.008205599;-0.028603079
197903;-0.04378322;0.022419837;-0.006183671
197904;0.004782129;0.055665753;0.016637425
197905;-0.080995007;-0.04584628;-0.022508061
197906;-0.011874814;0.024502069;-0.016475668
197907;0.022647808;0.061614463;-0.01648824
197908;0.013034643;0.03716759;0.015177019
197909;-0.074245626;-0.062268706;-0.012960512
197910;-0.154441152;-0.10242624;0.001138188
197911;-0.038538297;0.008342441;-0.067958751
197912;-0.009221364;0.025102445;-0.016127017
198001;-0.059578401;-0.018605266;0.001054261
198002;-0.097828472;-0.041617332;0.018180036
198003;-0.141922484;-0.085964636;0.029730835
198004;-0.051168402;-0.029371436;-0.010910207
198005;0.032840945;0.079385236;-0.00825512
198006;-0.01566578;0.003140762;0.01098003
198007;-0.035191893;-0.015414725;-0.008456362
198008;0.007234324;0.05378667;0.01233731
198009;-0.047583092;-0.016590439;0.015195348
198010;-0.012388416;0.036390293;0.026683642
198011;-0.024230795;0.003731252;0.028119265
198012;-0.056394536;-0.012233345;0.027843388
198101;-0.02295443;0.004770908;0.039566479
198102;-0.007594046;0.001601534;-0.000243709
198103;-0.021365687;0.014681304;0.016806935
198104;-0.028108019;0.011193254;-0.014642222
198105;0.007373008;0.029699291;-0.022600299
198106;0.001685314;0.031684272;0.057273524
198107;-0.017633577;0.012048419;-0.015741237
198108;-0.0765564;-0.042445715;-0.003328569
198109;-0.152823773;-0.11928636;0.093451963
198110;-0.045601712;-0.001034576;-0.021068765
198111;-0.031551135;-0.01271506;0.062724063
198112;-0.023608912;0.027783923;-0.00076351
198201;-0.069967468;-0.057769152;-0.021258595
198202;-0.122290156;-0.080338227;-0.012945841
198203;-0.03094834;0.010222705;0.041993687
198204;0.004820028;0.044436582;-0.023657884
198205;-0.002518959;-0.007057187;0.02927402
198206;-0.012278994;0.021670663;0.049721082
198207;0.012591081;0.018504413;-0.015766171
198208;-0.057557817;-0.0354466;-0.00530724
198209;-0.025629974;0.025768584;0.043580276
198210;-0.041616836;-0.005631996;-0.040512303
198211;-0.004942483;0.02880463;0.008891345
198212;0.000640026;0.030408883;-0.030748144
198301;-0.029697305;0.002833975;-0.052463921
198302;0.008460786;0.040352814;-0.030844354
198303;-0.047793006;-0.025780536;0.04242924
198304;-0.00434926;0.026768916;0.038297283
198305;-0.079089786;-0.046413686;0.019561838
198306;-0.000569103;0.05222621;-0.001252067
198307;-0.048128193;-0.025795032;0.047217627
198308;-0.040697042;-0.007559386;0.04392325
198309;-0.023968962;0.026123602;0.009496555
198310;0.035982672;0.063095987;0.056340324
198311;0.014443808;0.051300056;-0.071153953
198312;-0.03257912;0.016429536;0.048666964
198401;-0.025235768;-0.003976619;0.066812216
198402;-0.042120287;-0.02638678;0.007606859
198403;-0.009820677;0.031527565;0.004704511
198404;-0.084359871;-0.046717648;0.008343428
198405;0.006224684;0.04628766;0.023845812
198406;-0.016115448;0.025409855;-0.004010062
198407;-0.025851919;0.01368134;0.017499924
198408;0.002582936;0.034281296;-0.027393686
198409;-0.017693605;0.012723203;0.025093085
198410;-0.031042883;-0.011783117;-0.005784124
198411;-0.002790881;0.007241609;0.015994611
198412;-0.03456874;-0.000164496;-0.004252622
198501;-0.008422875;0.018750786;-0.018037667
198502;-0.014163286;0.006974941;0.028679288
198503;0.007210328;0.008472956;0.034412572
198504;0.009185502;0.030753317;0.036089881
198505;-0.000123605;2.41E-02;-0.008777796
198506;-0.006800566;-0.000878625;0.004329084
198507;-0.01838076;0.026099662;-0.011624845
198508;0.028969314;0.038058684;0.026345253
198509;-0.022411428;-0.009019495;0.010978402
198510;-0.016608705;-0.009629059;0.049047925
198511;-0.002016276;0.026964264;0.004979427
198512;-0.011356579;0.028972096;-0.020272355
198601;-0.065521789;-0.032006127;0.019103911
198602;-0.009211296;0.021188018;0.002069206
198603;0.007951281;0.045008848;0.035777802
198604;0.02938251;0.025161799;-0.002671385
198605;0.004684973;0.021378202;0.022488912
198606;-0.069847688;-0.062808944;0.051549032
198607;-0.004261169;0.020644247;-0.013767385
198608;-0.026201335;0.013198159;-0.021525271
198609;-0.005347399;-0.024406376;0.044677973
198610;0.040146295;0.065052072;0.018996079
198611;0.016574595;0.023133491;-0.029166743
198612;0.01129851;0.034463237;-0.009937474
