Date;EI10y;RRP;IRP
01.12.01;2.6393462;1.2461506;0.42848619
01.01.02;2.7899369;1.358012;0.4861878
01.02.02;2.7123769;1.3123732;0.4618564
01.03.02;2.7046551;1.2880281;0.4587392
01.04.02;2.9520356;1.3464267;0.4785638
01.05.02;2.7927848;1.2756869;0.443201
01.06.02;2.7303686;1.2535915;0.4356354
01.07.02;2.6473991;1.2169815;0.41688363
01.08.02;2.3926105;1.1797419;0.40189006
01.09.02;2.2175256;1.156886;0.39331644
01.10.02;2.1200192;1.1418255;0.38762164
01.11.02;2.1935127;1.1829783;0.41031348
01.12.02;2.3274091;1.2647531;0.46052261
01.01.03;2.2439394;1.1969138;0.38663345
01.02.03;2.2455641;1.1772516;0.37346332
01.03.03;2.0783864;1.151881;0.36956551
01.04.03;2.1166901;1.1920924;0.38548528
01.05.03;2.1170777;1.2140376;0.39592453
01.06.03;1.9788142;1.1568499;0.39580329
01.07.03;1.973451;1.1886766;0.40350992
01.08.03;2.2894709;1.4043515;0.51382409
01.09.03;2.3966164;1.4043422;0.51492205
01.10.03;2.1063259;1.3052642;0.46078503
01.11.03;2.2911369;1.3863626;0.51350215
01.12.03;2.3653793;1.3599259;0.50128901
01.01.04;2.3167501;1.3131558;0.47750887
01.02.04;2.2754574;1.2762915;0.45539325
01.03.04;2.1716856;1.2376694;0.44589563
01.04.04;2.1480768;1.2164152;0.43229729
01.05.04;2.4546894;1.3867434;0.50933174
01.06.04;2.5673682;1.3734061;0.51393203
01.07.04;2.501857;1.3415503;0.49397652
01.08.04;2.4716518;1.3122118;0.48110703
01.09.04;2.3558656;1.2401586;0.4563725
01.10.04;2.3505515;1.2493974;0.45803857
01.11.04;2.3070912;1.218337;0.42175607
01.12.04;2.3469422;1.2739643;0.45902396
01.01.05;2.3687512;1.2570988;0.44806548
01.02.05;2.3706533;1.2475411;0.43929254
01.03.05;2.474904;1.2800226;0.45715777
01.04.05;2.5215946;1.2789227;0.46055143
01.05.05;2.4035554;1.221808;0.42750259
01.06.05;2.2949612;1.2025153;0.4122731
01.07.05;2.359812;1.2140319;0.4097268
01.08.05;2.4709578;1.2407981;0.41595314
01.09.05;2.3536565;1.0781531;0.21520792
01.10.05;2.5492617;1.1991322;0.29821033
01.11.05;2.5758744;1.2688305;0.36137048
01.12.05;2.5702512;1.2720147;0.38755583
01.01.06;2.4488727;1.2359447;0.40273411
01.02.06;2.5135642;1.2850912;0.43290365
01.03.06;2.4741254;1.2783066;0.4690972
01.04.06;2.6257421;1.2794002;0.442014
01.05.06;2.6635907;1.2906453;0.4410671
01.06.06;2.6658287;1.2901259;0.4514906
01.07.06;2.721923;1.2772985;0.4411068
01.08.06;2.6194038;1.2330468;0.4137353
01.09.06;2.5174803;1.1990496;0.3365084
01.10.06;2.485753;1.2147361;0.35098894
01.11.06;2.3789791;1.1784627;0.4060862
01.12.06;2.3467956;1.1687616;0.37193252
01.01.07;2.5293118;1.2025925;0.3576475
01.02.07;2.5756304;1.2360165;0.3940066
01.03.07;2.4594415;1.1947259;0.38091024
01.04.07;2.4786022;1.209512;0.40067857
01.05.07;2.524481;1.1994456;0.39489761
01.06.07;2.6718196;1.2790326;0.45802992
01.07.07;2.6399293;1.2798023;0.462889
01.08.07;2.4898174;1.2385483;0.42886567
01.09.07;2.4115217;1.1986681;0.39854535
01.10.07;2.4520543;1.1870789;0.37787972
01.11.07;2.3840553;1.1258192;0.29956099
01.12.07;2.1470427;1.1237103;0.31299764
01.01.08;2.174666;1.1340748;0.32321258
01.02.08;2.0725733;1.1120286;0.29227207
01.03.08;1.9412978;1.1047946;0.32738115
01.04.08;2.0011092;1.1293766;0.34318672
01.05.08;2.2201559;1.2405561;0.39617397
01.06.08;2.3034655;1.2169889;0.35278004
